budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Vital Statistics,RE,Reimbursements,-1037683,0,-827363.72,-827363.72,EFOP,5.53
2016,General Fund,0001CTS,Court and Detention Services GF,Dallas City Marshal,RC,Capital Outlay,70000,0,43348.66,43348.66,GNFD,1.06
2016,Internal Service Fund,0199POM,Express Business Center POM,Business Services,TR,Transfers Out,78920,0,37226.36,37226.36,INSV,5.B
2016,General Fund,0001PBW,Public Works GF,Department Support,PS,Personnel Services,1163590,0,1192202.28,1192202.28,GNFD,9.99
2016,General Fund,0001DPD,Police Department GF,Police Intelligence,PS,Personnel Services,9624859,0,7557620.51,7557620.51,GNFD,1.25
2016,General Fund,0001EBS,Building Services GF,Department Support,PS,Personnel Services,601118,0,925984.55,925984.55,GNFD,9.99
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Records and Archival Library,QM,Supplies & Materials,8159,0,8621.31,8621.31,EFOP,2.33
2016,General Fund,0001SEC,City Secretary's Office GF,Boards and Commissions Support,QM,Supplies & Materials,1700,0,1182.64,1182.64,GNFD,5.0999999999999996
2016,General Fund,0001ATT,City Attorney's Office GF,General Counsel,PS,Personnel Services,3860515,0,3911342.54,3911342.54,GNFD,5.34
2016,General Fund,0001SEC,City Secretary's Office GF,Records Management,PS,Personnel Services,265227,0,273786.12,273786.12,GNFD,5.5
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Collection,PS,Personnel Services,12649858,0,12019386.02,12019386.02,EFOP,3.24
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Authorized Hearings,QM,Supplies & Materials,10625,0,1179.51,1179.51,GNFD,2.02
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Express Plan Review,QM,Supplies & Materials,16400,0,6736.95,6736.95,EFOP,2.16
2016,General Fund,0001EBS,Building Services GF,Security Service for City Facilities,PS,Personnel Services,3076416,0,3343214.75,3343214.75,GNFD,1.32
2016,General Fund,0001PNV,Planning and Urban Design GF,Mobility Planning,PS,Personnel Services,791641,0,424274.08,424274.08,GNFD,2.27
2016,General Fund,0001SEC,City Secretary's Office GF,Boards and Commissions Support,PS,Personnel Services,255053,0,260203.55,260203.55,GNFD,5.0999999999999996
2016,General Fund,0001PBW,Public Works GF,Street Cut and Right-of-Way Management (Cut Control),PS,Personnel Services,565666,0,432253.79,432253.79,GNFD,2.41
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Historic Preservation,RE,Reimbursements,-74033,0,-27907.56,-27907.56,GNFD,2.23
2016,General Fund,0001FHO,Mgmt Services - Fair Housing,Fair Housing and Human Rights Compliance,QM,Supplies & Materials,400,0,253.02,253.02,GNFD,5.31
2016,General Fund,0001ATT,City Attorney's Office GF,Municipal Prosecution,PS,Personnel Services,1709891,0,1633571.53,1633571.53,GNFD,1.19
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Inspection and Life Safety Education,RE,Reimbursements,-74275,0,-440047.95,-440047.95,GNFD,1.1399999999999999
2016,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,Internal Control Task Force,PS,Personnel Services,414065,0,367938.88,367938.88,GNFD,5.42
2016,General Fund,0001CCS,Code Compliance GF,Regulation and Enforcement of For Hire Transportation,PS,Personnel Services,921382,0,778890.62,778890.62,GNFD,2.36
2016,General Fund,0001PBW,Public Works GF,Air Quality Compliance,RE,Reimbursements,-525117,0,-525027.24,-525027.24,GNFD,3.01
2016,General Fund,0001HOU,Housing GF,Community/Senior Services,RE,Reimbursements,-50000,0,-67703.79,-67703.79,GNFD,3.08
2016,General Fund,0001DPD,Police Department GF,Police Community Outreach,PS,Personnel Services,1670262,0,1481332.29,1481332.29,GNFD,1.22
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Department Support,PS,Personnel Services,0,0,265659.92,265659.92,GNFD,9.99
2016,General Fund,0001ATT,City Attorney's Office GF,DFW International Airport Legal Counsel,PS,Personnel Services,554501,0,559767.62,559767.62,GNFD,5.25
2016,Internal Service Fund,0198DSV,Information Technology DSV,Internal Computer Support,PS,Personnel Services,3163653,0,2658658.24,2658658.24,INSV,5.K
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire-Rescue Equipment Maintenance and Supply,RE,Reimbursements,-133017,0,-132903.04,-132903.04,GNFD,1.1299999999999999
2016,General Fund,0001EBS,Building Services GF,Energy Procurement and Monitoring,QM,Supplies & Materials,2883021,0,2538952.85,2538952.85,GNFD,5.29
2016,General Fund,0001LIB,Library GF,Library Operations & Public Service,RC,Capital Outlay,0,0,44502.48,44502.48,GNFD,4.07
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,RE,Reimbursements,0,0,-2303995.10,-2303995.10,INSV,5.D
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Residential Refuse Collection,RC,Capital Outlay,0,0,179170,179170,EFOP,3.2
2016,General Fund,0001CCS,Code Compliance GF,Neighborhood Code Compliance Services,RE,Reimbursements,-1215858,0,-1119296.44,-1119296.44,GNFD,3.17
2016,General Fund,0001DPD,Police Department GF,Police Administrative Support,RC,Capital Outlay,0,0,7979,7979,GNFD,1.21
2016,General Fund,0001EBS,Building Services GF,Security Service for City Facilities,RE,Reimbursements,-436425,0,-1116805.62,-1116805.62,GNFD,1.32
2016,General Fund,0001PBW,Public Works GF,Land Surveying Services,PS,Personnel Services,645554,0,721273.83,721273.83,GNFD,5.43
2016,General Fund,0001TWM,Trinity Watershed Management GF,Trinity River Corridor Operations,RC,Capital Outlay,25241,0,36741.80,36741.80,GNFD,2.4900000000000002
2016,General Fund,0001CTS,Court and Detention Services GF,Illegal Dump Team - Criminal Investigations and Arrests,RE,Reimbursements,-913180,0,-913180,-913180,GNFD,3.15
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Vital Statistics,PS,Personnel Services,623708,0,572851.96,572851.96,EFOP,5.53
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Conservation,PS,Personnel Services,847315,0,952999.10,952999.10,EFOP,3.26
2016,Internal Service Fund,0198DSV,Information Technology DSV,Strategic Technology Management,RE,Reimbursements,-2338364,0,-1643102.56,-1643102.56,INSV,5.Q
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Department Support,PS,Personnel Services,2426857,0,2586673.81,2586673.81,EFOP,9.99
2016,General Fund,0001CTS,Court and Detention Services GF,Illegal Dump Team - Criminal Investigations and Arrests,PS,Personnel Services,809023,0,802569.18,802569.18,GNFD,3.15
2016,General Fund,0001CVS,Civil Service GF,Applicant Processing - Civilian,QV,Contractual & Other Services,96269,0,173279.60,173279.60,GNFD,5.05
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Production and Delivery,PS,Personnel Services,33244929,0,35056284.20,35056284.20,EFOP,2.5299999999999998
2016,General Fund,0001HOU,Housing GF,Housing Management/Contract Support,RE,Reimbursements,-131353,0,-36753.13,-36753.13,GNFD,5.37
2016,General Fund,0001EBS,Building Services GF,Bullington Truck Terminal and Thanksgiving Square,QM,Supplies & Materials,193158,0,70417.84,70417.84,GNFD,2.0299999999999998
2016,General Fund,0001PKR,Park and Recreation GF,Department Support,QV,Contractual & Other Services,0,0,2362.33,2362.33,GNFD,9.99
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,PS,Personnel Services,1119996,0,1079983.85,1079983.85,INSV,5.D
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Storm Drainage Management Fund,QM,Supplies & Materials,0,0,4171.46,4171.46,EFOP,3.21
2016,General Fund,0001PER,Human Resources GF,Department Support,QV,Contractual & Other Services,0,0,1523.58,1523.58,GNFD,9.99
2016,General Fund,0001CVS,Civil Service GF,Civil Service Board Administration/Employee Appeals Process,QM,Supplies & Materials,2397,0,2657.82,2657.82,GNFD,5.2
2016,General Fund,0001PKR,Park and Recreation GF,Recreation Services,RE,Reimbursements,-1025000,0,-1198136.06,-1198136.06,GNFD,4.12
2016,General Fund,0001DPD,Police Department GF,Police Investigation of Vice Related Crimes,PS,Personnel Services,3482967,0,3760298.82,3760298.82,GNFD,1.26
2016,General Fund,0001CVS,Civil Service GF,Applicant Processing - Uniform,QV,Contractual & Other Services,56096,0,20926.14,20926.14,GNFD,5.0599999999999996
2016,General Fund,0001ATT,City Attorney's Office GF,"Environ Enforcement, Compliance, and Support (Legal Service)",QV,Contractual & Other Services,13485,0,3658.75,3658.75,GNFD,3.13
2016,General Fund,0001ELE,Elections,Elections,PS,Personnel Services,87864,0,87392.29,87392.29,GNFD,5.27
